dataset,sf,algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_mb,patterns_found
Fuzzy_T10I4D100K,1,cuFFIMiner,3000,10,1.3736,5672.14,,2325.0
Fuzzy_T10I4D100K,1,naiveFFIMiner (floating),3000,10,0.6819,5672.14,,2046.0
Fuzzy_T10I4D100K,1,cuFFIMiner,3500,10,1.1895,5672.14,,1557.0
Fuzzy_T10I4D100K,1,naiveFFIMiner (floating),3500,10,0.7134,5672.14,,1408.0
Fuzzy_T10I4D100K,1,cuFFIMiner,4000,10,1.1953,5672.14,,1154.0
Fuzzy_T10I4D100K,1,naiveFFIMiner (floating),4000,10,0.4514,5672.14,,1069.0
Fuzzy_T10I4D100K,1,cuFFIMiner,4500,10,1.321,5672.14,,922.0
Fuzzy_T10I4D100K,1,naiveFFIMiner (floating),4500,10,0.4869,5672.14,,866.0
Fuzzy_T10I4D100K,1,cuFFIMiner,5000,10,1.1949,5672.14,,787.0
Fuzzy_T10I4D100K,1,naiveFFIMiner (floating),5000,10,0.4114,5672.14,,733.0
Fuzzy_T10I4D100K,1,ffiMiner,5000,10,7.0252,278.71,,787.0
