dataset,sf,algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_mb,pool_used_mb,pool_total_mb,rmm_peak_mb,patterns_found,theory_static_mb,theory_peak_mb,theory_peak_bytes,gpu_mem_bytes
Fuzzy_T10I4D100K,100,cuFFIMiner,550000,10,4.1643,2257.45,12086.62,0.0,0.0,9275.99,662.0,6360.379,6362.526,6671592062.976,12673739653.12
Fuzzy_T10I4D100K,100,naiveFFIMiner,550000,10,16.5053,14055.27,41072.62,0.0,0.0,5381.79,662.0,5378.379,5380.526,5641890430.976,43067763589.12
Fuzzy_T10I4D100K,100,cuFFIMiner,500000,10,3.2518,2257.45,12114.62,0.0,0.0,9372.46,787.0,6451.691,6454.053,6767565078.528,12703099781.12
Fuzzy_T10I4D100K,100,naiveFFIMiner,500000,10,17.4551,14053.46,41034.62,0.0,0.0,5473.44,787.0,5469.691,5472.053,5737863446.528,43027917701.12
Fuzzy_T10I4D100K,100,cuFFIMiner,450000,10,3.5326,2257.45,12294.62,0.0,0.0,9493.89,922.0,6566.957,6569.616,6888741666.816,12891843461.12
Fuzzy_T10I4D100K,100,naiveFFIMiner,450000,10,18.1411,14075.7,41058.62,0.0,0.0,5589.18,922.0,5584.957,5587.616,5859040034.816,43053083525.12
Fuzzy_T10I4D100K,100,cuFFIMiner,400000,10,3.6383,2257.45,12472.62,0.0,0.0,9615.39,1154.0,6682.732,6685.716,7010481340.416,13078489989.12
Fuzzy_T10I4D100K,100,naiveFFIMiner,400000,10,17.0854,14083.2,41084.62,0.0,0.0,5683.47,1154.0,5678.732,5681.716,5957711036.416,43080346501.12
Fuzzy_T10I4D100K,100,cuFFIMiner,350000,10,3.6875,2257.45,12522.62,0.0,0.0,9748.72,1557.0,6810.14,6813.53,7144504033.28,13130918789.12
Fuzzy_T10I4D100K,100,naiveFFIMiner,350000,10,17.203,14103.96,41052.62,0.0,0.0,5772.53,1557.0,5767.14,5770.53,6050839265.28,43046792069.12
Fuzzy_T10I4D100K,100,cuFFIMiner,300000,10,4.9631,2257.45,12586.62,0.0,0.0,9835.62,2325.0,6892.935,6896.648,7231659573.248,13198027653.12
Fuzzy_T10I4D100K,100,naiveFFIMiner,300000,10,16.9181,14115.97,41038.62,0.0,0.0,5838.83,2325.0,5832.935,5836.648,6120169013.248,43032112005.12
Fuzzy_T10I4D100K,100,cuFFIMiner,200000,10,4.3812,2257.45,12814.62,0.0,0.0,10040.92,6661.0,7087.979,7092.72,7437255966.72,13437102981.12
Fuzzy_T10I4D100K,100,naiveFFIMiner,200000,10,17.5241,14135.71,41042.62,0.0,0.0,6015.51,6661.0,6007.979,6012.72,6304793886.72,43036306309.12
