dataset,sf,algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_mb,pool_used_mb,pool_total_mb,rmm_peak_mb,patterns_found,gpu_mem_bytes
Fuzzy_T10I4D100K,50,cuFFIMiner,550000,10,4.3131,1608.31,5532.88,0.0,0.0,3493.2,324.0,5801645178.88
Fuzzy_T10I4D100K,50,naiveFFIMiner,550000,10,4.257,2923.44,6020.88,0.0,0.0,,324.0,6313350266.88
Fuzzy_T10I4D100K,50,cuFFIMiner,500000,10,4.6577,1608.31,5674.88,0.0,0.0,3589.75,359.0,5950542970.88
Fuzzy_T10I4D100K,50,naiveFFIMiner,500000,10,4.5994,2933.32,6016.88,0.0,0.0,,359.0,6309155962.88
Fuzzy_T10I4D100K,50,cuFFIMiner,450000,10,4.9161,1608.31,5796.88,0.0,0.0,3668.68,389.0,6078469242.88
Fuzzy_T10I4D100K,50,naiveFFIMiner,450000,10,4.856,2925.47,6024.88,0.0,0.0,,389.0,6317544570.88
Fuzzy_T10I4D100K,50,cuFFIMiner,400000,10,5.288,1608.31,5824.06,0.0,0.0,3759.1,426.0,6106969538.56
Fuzzy_T10I4D100K,50,naiveFFIMiner,400000,10,5.2034,2919.02,6036.06,0.0,0.0,,426.0,6329267650.56
Fuzzy_T10I4D100K,50,cuFFIMiner,350000,10,5.8466,1608.31,5748.06,0.0,0.0,3887.39,497.0,6027277762.56
Fuzzy_T10I4D100K,50,naiveFFIMiner,350000,10,5.7571,2926.39,6016.06,0.0,0.0,,497.0,6308296130.56
Fuzzy_T10I4D100K,50,cuFFIMiner,300000,10,6.0536,1608.31,5914.06,0.0,0.0,3959.77,596.0,6201341378.56
Fuzzy_T10I4D100K,50,naiveFFIMiner,300000,10,,,,,,,,
Fuzzy_T10I4D100K,50,cuFFIMiner,200000,10,6.8261,1608.31,5984.06,0.0,0.0,4123.53,1154.0,6274741698.56
Fuzzy_T10I4D100K,50,naiveFFIMiner,200000,10,,,,,,,,
