dataset,sf,algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_mb,pool_used_mb,pool_total_mb,rmm_peak_mb,patterns_found,theory_static_mb,theory_peak_mb,theory_peak_bytes,gpu_mem_bytes
Fuzzy_connect,100,cuFFIMiner,50000000,10,4.7929,929.05,20186.62,0.0,0.0,17250.95,27.0,4383.435,4383.436,4596365787.136,21167205253.12
Fuzzy_connect,100,naiveFFIMiner,50000000,10,61.365,40755.03,41020.62,0.0,0.0,3999.44,27.0,3999.435,3999.436,4193712603.136,43013237637.12
Fuzzy_connect,100,cuFFIMiner,55000000,10,4.301,929.82,18926.62,0.0,0.0,17250.95,10.0,2254.915,2254.915,2364449751.04,19845999493.12
Fuzzy_connect,100,naiveFFIMiner,55000000,10,62.457,40081.34,41030.62,0.0,0.0,2254.92,10.0,2254.915,2254.915,2364449751.04,43023723397.12
Fuzzy_connect,100,cuFFIMiner,60000000,10,3.8202,931.72,17672.62,0.0,0.0,17250.95,2.0,918.757,918.757,963386540.032,18531085189.12
Fuzzy_connect,100,naiveFFIMiner,60000000,10,64.3535,39653.94,41032.62,0.0,0.0,918.76,2.0,918.757,918.757,963386540.032,43025820549.12
Fuzzy_connect,100,cuFFIMiner,65000000,10,3.3917,817.02,9476.62,0.0,0.0,7737.12,0.0,0.0,0.0,0.0,9936956293.12
Fuzzy_connect,100,naiveFFIMiner,65000000,10,59.1541,39217.54,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Fuzzy_connect,100,cuFFIMiner,70000000,10,3.4269,823.62,9480.62,0.0,0.0,7737.12,0.0,0.0,0.0,0.0,9941150597.12
Fuzzy_connect,100,naiveFFIMiner,70000000,10,57.9041,39208.72,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
