dataset,sf,algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_mb,pool_used_mb,pool_total_mb,rmm_peak_mb,patterns_found,gpu_mem_bytes
Fuzzy_connect,25,cuFFIMiner,8000000,10,14.4815,723.72,5868.69,0.0,0.0,4984.99,1062.0,6153767485.44
Fuzzy_connect,25,naiveFFIMiner,8000000,10,,,,,,,,
Fuzzy_connect,25,cuFFIMiner,8500000,10,9.3207,726.79,5526.69,0.0,0.0,4380.99,689.0,5795154493.44
Fuzzy_connect,25,naiveFFIMiner,8500000,10,9.8458,4664.95,6016.69,0.0,0.0,,689.0,6308956733.44
Fuzzy_connect,25,cuFFIMiner,9000000,10,6.3639,724.88,5540.69,0.0,0.0,4380.99,457.0,5809834557.44
Fuzzy_connect,25,naiveFFIMiner,9000000,10,6.9055,4657.63,6022.69,0.0,0.0,,457.0,6315248189.44
Fuzzy_connect,25,cuFFIMiner,9500000,10,4.4729,723.84,5426.69,0.0,0.0,4331.47,303.0,5690296893.44
Fuzzy_connect,25,naiveFFIMiner,9500000,10,5.0755,4660.43,6008.69,0.0,0.0,,303.0,6300568125.44
Fuzzy_connect,25,cuFFIMiner,10000000,10,3.4289,733.86,5504.69,0.0,0.0,4279.97,211.0,5772085821.44
Fuzzy_connect,25,naiveFFIMiner,10000000,10,3.9879,4664.88,6014.69,0.0,0.0,,211.0,6306859581.44
