algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_bytes,patterns_found,support_float
cuFFIMiner,25000000,10,51.12533354759216,994.8984375,20351877120,5004,
naiveFFIMiner,25000000,10,56.43767976760864,18177.25390625,19951321088,5004,2500000.0
cuFFIMiner,24500000,10,54.873570919036865,18241.57421875,20353974272,5607,
naiveFFIMiner,24500000,10,61.01969647407532,18982.20703125,19953418240,5607,2450000.0
cuFFIMiner,24000000,10,62.33988833427429,18982.20703125,20353974272,6347,
naiveFFIMiner,24000000,10,66.74408388137817,19231.5390625,19953418240,6347,2400000.0
cuFFIMiner,23500000,10,70.6999728679657,19231.5390625,20353974272,7160,
naiveFFIMiner,23500000,10,74.85703563690186,19528.390625,19953418240,7160,2350000.0
cuFFIMiner,23000000,10,77.38451910018921,19528.390625,20809056256,8095,
naiveFFIMiner,23000000,10,81.96311354637146,19575.2109375,20408500224,8095,2300000.0
