dataset,sf,algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_mb,pool_used_mb,pool_total_mb,rmm_peak_mb,patterns_found,theory_static_mb,theory_peak_mb
Fuzzy_kosarak,100,cuFFIMiner,250000,10,,,,,,,,,
Fuzzy_kosarak,100,naiveFFIMiner,250000,10,,,,,,,,,
Fuzzy_kosarak,100,cuFFIMiner,300000,10,,,,,,,,,
Fuzzy_kosarak,100,naiveFFIMiner,300000,10,,,,,,,,,
Fuzzy_kosarak,100,cuFFIMiner,350000,10,,,,,,,,,
Fuzzy_kosarak,100,naiveFFIMiner,350000,10,,,,,,,,,
Fuzzy_kosarak,100,cuFFIMiner,400000,10,,,,,,,,,
Fuzzy_kosarak,100,naiveFFIMiner,400000,10,,,,,,,,,
Fuzzy_kosarak,100,cuFFIMiner,450000,10,,,,,,,,,
Fuzzy_kosarak,100,naiveFFIMiner,450000,10,,,,,,,,,
Fuzzy_kosarak,100,cuFFIMiner,500000,10,,,,,,,,,
Fuzzy_kosarak,100,naiveFFIMiner,500000,10,,,,,,,,,
Fuzzy_kosarak,100,cuFFIMiner,550000,10,,,,,,,,,
Fuzzy_kosarak,100,naiveFFIMiner,550000,10,,,,,,,,,
Fuzzy_kosarak,100,cuFFIMiner,600000,10,,,,,,,,,
Fuzzy_kosarak,100,naiveFFIMiner,600000,10,,,,,,,,,
Fuzzy_kosarak,100,cuFFIMiner,650000,10,,,,,,,,,
Fuzzy_kosarak,100,naiveFFIMiner,650000,10,,,,,,,,,
Fuzzy_kosarak,100,cuFFIMiner,700000,10,,,,,,,,,
Fuzzy_kosarak,100,naiveFFIMiner,700000,10,,,,,,,,,
