dataset,sf,algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_mb,pool_used_mb,pool_total_mb,rmm_peak_mb,patterns_found,theory_static_mb,theory_peak_mb,theory_peak_bytes,gpu_mem_bytes
Fuzzy_pumsb,100,cuFFIMiner,20000000,10,19.9409,935.57,33252.62,0.0,0.0,27030.99,3384.0,12540.411,12540.599,13149771137.024,34867899269.12
Fuzzy_pumsb,100,naiveFFIMiner,20000000,10,90.1744,54285.18,41040.62,0.0,0.0,10172.74,3384.0,10172.411,10172.599,10666743169.024,43034209157.12
Fuzzy_pumsb,100,cuFFIMiner,19000000,10,26.3206,930.73,34316.62,0.0,0.0,27412.56,4840.0,12900.914,12901.18,13527867719.68,35983584133.12
Fuzzy_pumsb,100,naiveFFIMiner,19000000,10,89.1907,54450.1,41066.62,0.0,0.0,10533.38,4840.0,10532.914,10533.18,11044839751.68,43061472133.12
Fuzzy_pumsb,100,cuFFIMiner,18000000,10,36.9543,920.8,35134.62,0.0,0.0,28181.36,6983.0,13626.965,13627.348,14289310056.448,36841319301.12
Fuzzy_pumsb,100,naiveFFIMiner,18000000,10,99.2702,54543.6,41080.62,0.0,0.0,11259.64,6983.0,11258.965,11259.348,11806282088.448,43076152197.12
Fuzzy_pumsb,100,cuFFIMiner,17000000,10,52.6874,921.2,35164.62,0.0,0.0,28306.9,10196.0,13745.665,13746.279,14414018248.704,36872776581.12
Fuzzy_pumsb,100,naiveFFIMiner,17000000,10,113.9145,54302.41,41032.62,0.0,0.0,11378.76,10196.0,11377.665,11378.279,11930990280.704,43025820549.12
Fuzzy_pumsb,100,cuFFIMiner,16000000,10,79.6222,939.18,38268.62,0.0,0.0,29175.71,15240.0,14567.719,14568.686,15276374491.136,40127556485.12
Fuzzy_pumsb,100,naiveFFIMiner,16000000,10,138.0637,54403.15,41028.62,0.0,0.0,12201.45,15240.0,12199.719,12200.686,12793346523.136,43021626245.12
