dataset,sf,algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_mb,pool_used_mb,pool_total_mb,rmm_peak_mb,patterns_found,gpu_mem_bytes
Fuzzy_pumsb,25,cuFFIMiner,6000000,10,7.0347,725.72,6517.06,0.0,0.0,5342.79,928.0,6833632706.56
Fuzzy_pumsb,25,naiveFFIMiner,6000000,10,7.7815,5711.48,7388.56,0.0,0.0,,928.0,7747466690.56
Fuzzy_pumsb,25,cuFFIMiner,5500000,10,12.6421,727.01,6324.56,0.0,0.0,5438.75,1744.0,6631781826.56
Fuzzy_pumsb,25,naiveFFIMiner,5500000,10,13.5672,5726.76,7388.56,0.0,0.0,,1744.0,7747466690.56
Fuzzy_pumsb,25,cuFFIMiner,5000000,10,24.7675,735.79,6556.56,0.0,0.0,5665.62,3384.0,6875051458.56
Fuzzy_pumsb,25,naiveFFIMiner,5000000,10,25.5514,5710.29,7390.56,0.0,0.0,,3384.0,7749563842.56
Fuzzy_pumsb,25,cuFFIMiner,4500000,10,53.0698,725.6,6696.56,0.0,0.0,5889.4,6983.0,7021852098.56
Fuzzy_pumsb,25,naiveFFIMiner,4500000,10,53.911,5727.79,7392.56,0.0,0.0,,6983.0,7751660994.56
Fuzzy_pumsb,25,cuFFIMiner,4000000,10,121.7131,747.18,7390.56,0.0,0.0,6084.39,15240.0,7749563842.56
Fuzzy_pumsb,25,naiveFFIMiner,4000000,10,122.2995,5720.69,7391.38,0.0,0.0,,15240.0,7750423674.88
