algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_bytes,patterns_found,support_float
cuFFIMiner,20000000,10,22.31106948852539,984.9453125,23822663680,3384,
naiveFFIMiner,20000000,10,29.431203842163086,21217.96875,23822663680,3384,2000000.0
cuFFIMiner,19000000,10,30.868197679519653,21282.16015625,24139333632,4840,
naiveFFIMiner,19000000,10,38.21851372718811,22294.625,24139333632,4840,1900000.0
cuFFIMiner,18000000,10,46.270153760910034,22294.625,24764284928,6983,
naiveFFIMiner,18000000,10,53.06827664375305,22838.86328125,24764284928,6983,1800000.0
cuFFIMiner,17000000,10,70.24702978134155,22838.86328125,24871239680,10196,
naiveFFIMiner,17000000,10,75.2698621749878,23077.73828125,24871239680,10196,1700000.0
cuFFIMiner,16000000,10,105.98867177963257,23077.73828125,25584271360,15240,
naiveFFIMiner,16000000,10,113.83707404136658,23460.84375,25582174208,15240,1600000.0
