dataset,sf,algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_mb,pool_used_mb,pool_total_mb,rmm_peak_mb,patterns_found,theory_static_mb,theory_peak_mb,theory_peak_bytes,gpu_mem_bytes
Fuzzy_retail,100,cuFFIMiner,25000,10,21.0266,942.1,14050.62,0.0,0.0,10961.17,26746.0,7530.605,7874.331,8256834502.656,14733142917.12
Fuzzy_retail,100,naiveFFIMiner,25000,10,37.2174,15621.82,41028.62,0.0,0.0,6799.45,26746.0,6253.23,6596.956,6917409734.656,43021626245.12
Fuzzy_retail,100,cuFFIMiner,50000,10,8.9405,940.24,12792.62,0.0,0.0,9734.66,9986.0,6363.329,6459.463,6773237874.688,13414034309.12
Fuzzy_retail,100,naiveFFIMiner,50000,10,24.2079,15489.91,41026.62,0.0,0.0,5424.22,9986.0,5271.454,5367.588,5628323954.688,43019529093.12
Fuzzy_retail,100,cuFFIMiner,60000,10,7.3022,923.26,12020.62,0.0,0.0,9334.53,7576.0,5981.945,6045.304,6338960687.104,12604533637.12
Fuzzy_retail,100,naiveFFIMiner,60000,10,22.2445,15476.27,41036.62,0.0,0.0,5060.13,7576.0,4959.445,5022.804,5266791727.104,43030014853.12
Fuzzy_retail,100,cuFFIMiner,70000,10,6.1466,921.58,11786.62,0.0,0.0,9036.76,6023.0,5699.432,5743.922,6022938755.072,12359166853.12
Fuzzy_retail,100,naiveFFIMiner,70000,10,20.9211,15420.8,41060.62,0.0,0.0,4762.63,6023.0,4691.932,4736.422,4966498435.072,43055180677.12
Fuzzy_retail,100,cuFFIMiner,80000,10,5.4316,925.66,11450.62,0.0,0.0,8770.98,4927.0,5447.332,5479.619,5745796972.544,12006845317.12
Fuzzy_retail,100,naiveFFIMiner,80000,10,20.9605,15956.77,41018.62,0.0,0.0,4510.14,4927.0,4458.832,4491.119,4709279596.544,43011140485.12
Fuzzy_retail,100,cuFFIMiner,90000,10,5.0932,931.39,11238.62,0.0,0.0,8525.0,4124.0,5212.859,5237.057,5491452280.832,11784547205.12
Fuzzy_retail,100,naiveFFIMiner,90000,10,22.1222,15390.09,41030.62,0.0,0.0,4314.06,4124.0,4275.609,4299.807,4508674424.832,43023723397.12
Fuzzy_retail,100,cuFFIMiner,100000,10,4.6559,929.09,11132.62,0.0,0.0,8317.5,3530.0,5014.862,5033.807,5278329208.832,11673398149.12
Fuzzy_retail,100,naiveFFIMiner,100000,10,19.2679,14357.76,41074.62,0.0,0.0,4161.71,3530.0,4131.612,4150.557,4352174456.832,43069860741.12
