dataset,sf,algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_mb,pool_used_mb,pool_total_mb,rmm_peak_mb,patterns_found,gpu_mem_bytes
Fuzzy_retail,50,cuFFIMiner,25000,10,24.3605,738.2,6002.69,0.0,0.0,4228.78,9986.0,6294276669.44
Fuzzy_retail,50,naiveFFIMiner,25000,10,,,,,,,,
Fuzzy_retail,50,cuFFIMiner,50000,10,8.1902,735.2,5660.69,0.0,0.0,3657.45,3530.0,5935663677.44
Fuzzy_retail,50,naiveFFIMiner,50000,10,8.259,3328.83,6010.69,0.0,0.0,,3530.0,6302665277.44
Fuzzy_retail,50,cuFFIMiner,60000,10,6.2595,725.67,5382.69,0.0,0.0,3507.07,2678.0,5644159549.44
Fuzzy_retail,50,naiveFFIMiner,60000,10,6.3707,3295.09,6024.69,0.0,0.0,,2678.0,6317345341.44
Fuzzy_retail,50,cuFFIMiner,70000,10,5.0255,737.2,5312.69,0.0,0.0,3377.11,2073.0,5570759229.44
Fuzzy_retail,50,naiveFFIMiner,70000,10,5.1445,3293.86,6026.69,0.0,0.0,,2073.0,6319442493.44
Fuzzy_retail,50,cuFFIMiner,80000,10,4.3309,734.79,5058.69,0.0,0.0,3285.93,1695.0,5304420925.44
Fuzzy_retail,50,naiveFFIMiner,80000,10,4.4785,3298.75,6006.69,0.0,0.0,,1695.0,6298470973.44
Fuzzy_retail,50,cuFFIMiner,90000,10,3.7526,727.7,4982.69,0.0,0.0,3190.36,1416.0,5224729149.44
Fuzzy_retail,50,naiveFFIMiner,90000,10,3.8886,3305.44,6008.69,0.0,0.0,,1416.0,6300568125.44
Fuzzy_retail,50,cuFFIMiner,100000,10,3.2964,726.17,4992.69,0.0,0.0,3118.01,1208.0,5235214909.44
Fuzzy_retail,50,naiveFFIMiner,100000,10,3.4681,3294.7,6034.69,0.0,0.0,,1208.0,6327831101.44
